Country,Continent,Capital,Flag,Outline
Andorra,Europe,Andorra la Vella,static\countries\ad\ad.png,static\countries\ad\1024.png
United Arab Emirates,Asia,Abu Dhabi,static\countries\ae\ae.png,static\countries\ae\1024.png
Afghanistan,Asia,Kabul,static\countries\af\af.png,static\countries\af\1024.png
Albania,Europe,Tirana,static\countries\al\al.png,static\countries\al\1024.png
Armenia,Asia,Yerevan,static\countries\am\am.png,static\countries\am\1024.png
Angola,Africa,Luanda,static\countries\ao\ao.png,static\countries\ao\1024.png
Argentina,South America,Buenos Aires,static\countries\ar\ar.png,static\countries\ar\1024.png
American Samoa,Oceania,Pago Pago,static\countries\as\as.png,static\countries\as\1024.png
Austria,Europe,Vienna,static\countries\at\at.png,static\countries\at\1024.png
Australia,Oceania,Canberra,static\countries\au\au.png,static\countries\au\1024.png
Azerbaijan,Asia,Baku,static\countries\az\az.png,static\countries\az\1024.png
Bosnia and Herzegovina,Europe,Sarajevo,static\countries\ba\ba.png,static\countries\ba\1024.png
Barbados,North America,Bridgetown,static\countries\bb\bb.png,static\countries\bb\1024.png
Bangladesh,Asia,Dhaka,static\countries\bd\bd.png,static\countries\bd\1024.png
Belgium,Europe,Brussels,static\countries\be\be.png,static\countries\be\1024.png
Burkina Faso,Africa,Ouagadougou,static\countries\bf\bf.png,static\countries\bf\1024.png
Bulgaria,Europe,Sofia,static\countries\bg\bg.png,static\countries\bg\1024.png
Bahrain,Asia,Manama,static\countries\bh\bh.png,static\countries\bh\1024.png
Burundi,Africa,Bujumbura,static\countries\bi\bi.png,static\countries\bi\1024.png
Benin,Africa,Porto-Novo,static\countries\bj\bj.png,static\countries\bj\1024.png
Bermuda,North America,Hamilton,static\countries\bm\bm.png,static\countries\bm\1024.png
Brunei Darussalam,Asia,Bandar Seri Begawan,static\countries\bn\bn.png,static\countries\bn\1024.png
Bolivia,South America,Sucre,static\countries\bo\bo.png,static\countries\bo\1024.png
Brazil,South America,Brasília,static\countries\br\br.png,static\countries\br\1024.png
Bahamas,North America,Nassau,static\countries\bs\bs.png,static\countries\bs\1024.png
Bhutan,Asia,Thimphu,static\countries\bt\bt.png,static\countries\bt\1024.png
Botswana,Africa,Gaborone,static\countries\bw\bw.png,static\countries\bw\1024.png
Belarus,Europe,Minsk,static\countries\by\by.png,static\countries\by\1024.png
Belize,North America,Belmopan,static\countries\bz\bz.png,static\countries\bz\1024.png
    Canada,North America,Ottawa,static\countries\ca\ca.png,static\countries\ca\1024.png
Democratic Republic of the Congo,Africa,Kinshasa,static\countries\cd\cd.png,static\countries\cd\1024.png
Central African Republic,Africa,Bangui,static\countries\cf\cf.png,static\countries\cf\1024.png
Republic of the Congo,Africa,Brazzaville,static\countries\cg\cg.png,static\countries\cg\1024.png
Switzerland,Europe,Bern,static\countries\ch\ch.png,static\countries\ch\1024.png
Ivory Coast,Africa,Yamoussoukro,static\countries\ci\ci.png,static\countries\ci\1024.png
Chile,South America,Santiago,static\countries\cl\cl.png,static\countries\cl\1024.png
Cameroon,Africa,Yaoundé,static\countries\cm\cm.png,static\countries\cm\1024.png
China,Asia,Beijing,static\countries\cn\cn.png,static\countries\cn\1024.png
Colombia,South America,Bogotá,static\countries\co\co.png,static\countries\co\1024.png
Costa Rica,North America,San José,static\countries\cr\cr.png,static\countries\cr\1024.png
Cuba,North America,Havana,static\countries\cu\cu.png,static\countries\cu\1024.png
Cape Verde,Africa,Praia,static\countries\cv\cv.png,static\countries\cv\1024.png
Christmas Island,Oceania,Flying Fish Cove,static\countries\cx\cx.png,static\countries\cx\1024.png
Cyprus,Asia,Nicosia,static\countries\cy\cy.png,static\countries\cy\1024.png
Czech Republic,Europe,Prague,static\countries\cz\cz.png,static\countries\cz\1024.png
Germany,Europe,Berlin,static\countries\de\de.png,static\countries\de\1024.png
Djibouti,Africa,Djibouti,static\countries\dj\dj.png,static\countries\dj\1024.png
Denmark,Europe,Copenhagen,static\countries\dk\dk.png,static\countries\dk\1024.png
Dominica,North America,Roseau,static\countries\dm\dm.png,static\countries\dm\1024.png
Dominican Republic,North America,Santo Domingo,static\countries\do\do.png,static\countries\do\1024.png
Algeria,Africa,Algiers,static\countries\dz\dz.png,static\countries\dz\1024.png
